b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,r o c k

b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,s w a y

b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,t r e m b l e

b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,s h i v e r

b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,s t i r

b l a c k,g r i m,b l a c k,b l a c k,b l a c k,b l a c k,s i n i s t e r,f a i n t,g r i m,s t i m u l a t e

